Name,Address,Rating,Review Count,Types
Metropoliz Urbanwear,"José María Izazaga 20, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06080 Cuahutémoc, CDMX, Mexico",4.6,10,clothing_store
Ares Urban Wear,"Circunvalación 52, Centro, Cuauhtémoc, 15100 Ciudad de México, CDMX, Mexico",4.6,153,clothing_store
Colectivo Calavera,"Av. 5 de Mayo 29,Centro Histórico, Centro,06000 Ciudad de México, D.F, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.7,53,clothing_store
GRFK CENTRO HISTÓRICO CDMX,"16 de Septiembre 11, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.4,68,clothing_store
YONERONE,"Isabel La Católica 93-Loc- B, Col. Centro, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico",4.7,534,clothing_store
Street wear xcdmx,"Av. Juarez 32-desp.211, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",5.0,3,clothing_store
PAY'S store,"C. Marsella 59, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",4.8,34,clothing_store
TLAPEXCO CENTRO HISTÓRICO,"Calle de Mesones 45, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico",4.8,84,"sporting_goods_store,clothing_store,store"
Wavey L.A.,"Havre 46, Juárez, Cuauhtémoc, 06600 Juárez, CDMX, Mexico",5.0,8,clothing_store
SRPEDRO,"C. Manuel Doblado No.10, Centro, Cuauhtémoc, 06000 Centro, CDMX, Mexico",4.3,40,womens_clothing_store
JULIO Palma,"C. de la Palma 39-Local 1, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,94,womens_clothing_store
SOPHIA,"C. Nezahualcóyotl 145-Piso 6, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico",4.5,161,"clothing_store,womens_clothing_store,store,service"
Portis Moda,"Leona Vicario 23, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.4,36,"womens_clothing_store,manufacturer,wholesaler"
CHERRY,"José María Izazaga 127-piso 2, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico",4.2,197,womens_clothing_store
Pekka,"20 de Noviembre 83, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Centro, CDMX, Mexico",4.5,31,clothing_store
MODAS DE JENNY (MD'J),"C. de Mixcalco 13, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.5,140,womens_clothing_store
Monserrat Moda,"Plaza Torres de Plata, Calle Rodríguez Puebla 21-Local 23, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.8,16,womens_clothing_store
EVA MODA,"Calle Rodríguez Puebla 10, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, Mexico",4.7,34,womens_clothing_store
Aspik,"José María Izazaga 127-L-10, Centro, Cuauhtémoc, 06090 Cuauhtémoc, CDMX, Mexico",4.7,78,womens_clothing_store
Sterling Fashion | Venta de Ropa Por Mayoreo En Línea,"General Miguel Alemán 32 Loc D y E, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.6,87,womens_clothing_store
Vittorio Forti Bolivar,"CALLE BOLIVAR NUM. 34 P.B. COL. CENTRO, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Cuahutemoc, CDMX, Mexico",4.5,725,clothing_store
Men's Fashion Zocalo,"Local S - C, 16 de Septiembre 82, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,89,clothing_store
Robert's | 05 de Mayo,"Calle de Bolívar 18, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.3,199,clothing_store
Fergaro,"Regina 79, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",4.6,8,clothing_store
El Palacio del Traje,"República de Brasil 68, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico",4.2,55,clothing_store
Zuppo Store Underwear Centro,"José María Pino Suárez 59-Piso 2, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",4.4,128,clothing_store
Men´s Fashion 5 De Mayo,"5 de Mayo 32 Loc E, F, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.3,127,clothing_store
Aldo Conti,"16 de Septiembre 72-L-A, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.2,170,clothing_store
HIDALGO, S.A. DE C.V.,"Av. 5 de Mayo 31, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.4,148,clothing_store
Valenti Collezione,"Eje Central Lázaro Cárdenas 74, Colonia Centro, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",4.9,303,clothing_store
